  Parcel Number ,  Bedrooms ,  Appraised Value ,  Sales Price ,  Sales Date ,  Baths (Full) ,  Year Built (Res) 
13 0094 LL1256,3,150800,174637,31-Jul-20,2,2005
12 184104010142,3,406300,400000,30-Jul-20,2,1980
17 024800150181,3,105000,130000,30-Jul-20,2,1930
17 024800150181,3,105000,0,30-Jul-20,2,1930
17 010800071279,3,464600,410000,30-Jul-20,2,2005
17 0076 LL2364,3,164700,155000,30-Jul-20,2,1991
14 017500120238,3,106200,0,30-Jul-20,1,1950
14 016500050353,3,189800,10,30-Jul-20,2,1955
14 016500050353,3,189800,120000,30-Jul-20,2,1955
14 014900070295,3,142500,112100,30-Jul-20,2,1930
14 013300190281,3,184600,250000,30-Jul-20,1,1940
13 003500010308,3,87100,1,30-Jul-20,2,1965
13 003500010050,3,101300,1,30-Jul-20,2,1963
13 003300050223,3,81200,130000,30-Jul-20,2,1977
12 260006903616,3,276100,0,30-Jul-20,2,2014
12 248006521009,3,587500,0,30-Jul-20,4,2019
07 140001174449,3,147300,1,29-Jul-20,2,2005
22 540008282146,3,323900,315000,29-Jul-20,3,2005
17 011400060191,3,1079500,1750000,29-Jul-20,3,1987
17 008700030254,3,352500,470000,29-Jul-20,2,1958
17 008700030254,3,352500,0,29-Jul-20,2,1958
14 016300160097,3,143400,183000,29-Jul-20,1,1950
14 015800120395,3,149400,337500,29-Jul-20,1,1935
14 013800020160,3,315200,0,29-Jul-20,2,1945
14 013700010188,3,87200,118000,29-Jul-20,1,1960
14 001900160036,3,450300,577140,29-Jul-20,3,1993
14 001400110358,3,275400,287600,29-Jul-20,1,1928
14 001400110358,3,275400,287600,29-Jul-20,1,1928
13 0125 LL3586,3,126000,1,29-Jul-20,2,2006
12 236006042563,3,508500,593511,29-Jul-20,3,2019
12 201104240527,3,477200,482000,29-Jul-20,3,2019
12 195304360210,3,350100,400000,29-Jul-20,2,1975
12 195304360210,3,350100,0,29-Jul-20,2,1975
12 188403920745,3,370000,0,29-Jul-20,2,1995
13 009300022708,3,32800,28000,28-Jul-20,2,1970
22 496011244047,3,560200,0,28-Jul-20,3,2017
17 024600020816,3,70800,60500,28-Jul-20,1,1961
17 012600010143,3,360400,476000,28-Jul-20,3,1960
14F002600030432,3,42700,93000,28-Jul-20,2,1983
14F001700010450,3,93000,152000,28-Jul-20,1,1961
14 018500010155,3,139100,84000,28-Jul-20,2,1958
14 015300060505,3,100000,307000,28-Jul-20,1,1948
14 015100031078,3,115300,155000,28-Jul-20,2,1950
14 014200120899,3,85900,289500,28-Jul-20,1,1940
14 014100050766,3,119200,344500,28-Jul-20,2,1940
14 013300110222,3,166400,160000,28-Jul-20,1,1954
14 010200090827,3,131600,260000,28-Jul-20,2,1964
14 002200040324,3,535800,605000,28-Jul-20,2,1920
14 002200020722,3,478700,529900,28-Jul-20,3,2016
13 0132 LL2852,3,185900,166480,28-Jul-20,2,2019
13 009400040048,3,118900,137000,28-Jul-20,2,1966
09F280001215550,3,112400,126000,27-Jul-20,2,2004
22 542009733077,3,208200,247000,27-Jul-20,2,1997
22 513111940504,3,387800,388000,27-Jul-20,2,1997
21 572111250837,3,255800,335000,27-Jul-20,2,1989
17 025200050525,3,217400,313120,27-Jul-20,3,2019
17 007300050704,3,143300,195000,27-Jul-20,2,1964
17 005000030489,3,555200,580000,27-Jul-20,2,2015
14F0108 LL1187,3,160300,184900,27-Jul-20,2,2009
14F002500050076,3,133600,115000,27-Jul-20,2,1986
14 020900040154,3,196200,275000,27-Jul-20,1,1963
14 017100150106,3,70000,160000,27-Jul-20,1,1953
14 014800021000,3,133000,338000,27-Jul-20,2,1922
14 012100020664,3,111400,280000,27-Jul-20,1,1940
14 008000031579,3,558000,0,27-Jul-20,2,2002
14 008000031579,3,558000,705000,27-Jul-20,2,2002
14 005400090965,3,398600,380000,27-Jul-20,2,1986
14 004700111456,3,278800,321000,27-Jul-20,2,1987
14 004300060343,3,620100,650000,27-Jul-20,3,1920
14 002200070545,3,400000,445000,27-Jul-20,2,1930
14 001300101481,3,695000,699900,27-Jul-20,2,2018
13 009200040099,3,90600,100000,27-Jul-20,2,1967
